Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Unforgiven,4793.0,1992,Some legends will never be forgotten. Some wrongs can never be forgiven.,Western,Clint Eastwood,/54roTwbX9fltg85zjsmrooXAs12.jpg,"""Some legends will never be forgotten. Some wrongs can never be forgiven.""",based on true story
The Simpsons Movie,8384.0,2007,See our family. And feel better about yours.,"Animation, Comedy, Family",David Silverman,/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,"""See our family. And feel better about yours.""","garbage, pollution, quarantine, environmental protection agency, parent child relationship, dysfunctional family, dysfunctional marriage, ecology, first love, duringcreditsstinger, based on tv series, lighthearted"
Eternal Sunshine of the Spotless Mind,15969.0,2004,You can erase someone from your mind. Getting them out of your heart is another story.,"Science Fiction, Drama, Romance",Michel Gondry,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,"""You can erase someone from your mind. Getting them out of your heart is another story.""","new york city, regret, jealousy, deja vu, amnesia, dream, operation, relationship problems, love, memory, brainwashing, relationship, heartbreak, nonlinear timeline, 2000s"
Amores Perros,2823.0,2000,Love. Betrayal. Death.,"Drama, Thriller",Alejandro González Iñárritu,/A4lH22nlFF7MdalGfcvSrlC1ttt.jpg,"""Love. Betrayal. Death.""","daughter, secret love, homeless person, mexico city, mexico, money, dog fighting, dog, nonlinear timeline, multiple storylines, new mexican cinema"
Pirates of the Caribbean: Dead Man's Chest,16833.0,2006,Captain Jack is back!,"Adventure, Fantasy, Action",Gore Verbinski,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,"""Captain Jack is back!""","witch, daughter, ship, east india company, exotic island, bondage, monster, captain, fortune teller, compass, sword fight, pirate, cannibal, swashbuckler, kraken, aftercreditsstinger, based on theme park ride"
A History of Violence,3588.0,2005,Tom Stall had the perfect life...until he became a hero.,"Drama, Thriller, Crime",David Cronenberg,/A26rcvipOqptVs7i5uRmKicXRxE.jpg,"""Tom Stall had the perfect life...until he became a hero.""","small town, hero, robbery, indiana, usa, distrust, philadelphia, pennsylvania, dual identity, double life, fight, identity, self-defense, marriage, diner, mistaken identity, based on comic, family relationships, irish mob, revenge, mobster, lawyer, attempted robbery, based on graphic novel, graphic violence"
2001: A Space Odyssey,12284.0,1968,An epic drama of adventure and exploration.,"Science Fiction, Mystery, Adventure",Stanley Kubrick,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,"""An epic drama of adventure and exploration.""","man vs machine, moon, jupiter, artificial intelligence (a.i.), based on novel or book, technology, super computer, space travel, space mission, moon base, astronaut, evolution, monolith, space station, space opera, 2000s"
Twelve Monkeys,8880.0,1995,The future is history.,"Science Fiction, Thriller, Mystery",Terry Gilliam,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,"""The future is history.""","biological weapon, philadelphia, pennsylvania, schizophrenia, stockholm syndrome, airplane, underground, insanity, asylum, paranoia, prison cell, dystopia, pimp, lion, post-apocalyptic future, time travel, florida keys, mental breakdown, past, dormitory, insane asylum, cockroach, volunteer, drug use, flashback, remake, psychiatric hospital, jail, mental institution, alternate history, disease, lethal virus, paradox, psychiatrist, monkey, epidemic, trapped, falling down stairs, street life, nonlinear timeline, medical research, tooth, pantyhose, gas mask, psychosis, child's point of view, subterranean, virus, recurring dream, 1990s, escaped animal, future noir, 2030s, cassandra syndrome, bullet, endless loop, stream, vivisection, nude pantyhose, microbiologist, real movie shown in fictional situation, kick in face, eating spider, reference to houdini, abandoned theater, tied to a bed, psychiatric care, hiding in a barn, reference to cassandra, biblical quote, person in a car trunk, watching a movie, world war one, lab animal, cassandra complex"
8 Mile,7638.0,2002,Every moment is another chance.,"Drama, Music",Curtis Hanson,/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,"""Every moment is another chance.""","individual, adolescence, rap music, hip-hop, rhyme battle, trailer park, street gang, ethnic stereotype, rapper, ghetto, single, detroit, michigan, 1990s, battle rap"
Brazil,3586.0,1985,It's only a state of mind.,"Comedy, Science Fiction",Terry Gilliam,/aewan59WcFThBimkTVVoNf2o5Vb.jpg,"""It's only a state of mind.""",campy
